Date,Open,High,Low,Close,Volume,Sector,Ticker
2019-08-09,7032.64990234375,7175.10009765625,7005.75,7137.39990234375,1433800,AUTO,^CNXAUTO
2019-08-13,7137.25,7137.25,6840.2998046875,6855.75,1048600,AUTO,^CNXAUTO
2019-08-14,6876.9501953125,6985.85009765625,6811.0,6919.0498046875,950700,AUTO,^CNXAUTO
2019-08-16,6883.7001953125,7013.75,6772.10009765625,6998.4501953125,976200,AUTO,^CNXAUTO
2019-08-19,7019.14990234375,7042.9501953125,6938.5,6959.14990234375,693100,AUTO,^CNXAUTO
2019-08-20,6979.39990234375,7067.85009765625,6940.60009765625,7040.5,774900,AUTO,^CNXAUTO
2019-08-21,7053.0498046875,7094.25,6967.60009765625,7001.85009765625,1421500,AUTO,^CNXAUTO
2019-08-22,6990.0498046875,6991.5498046875,6864.9501953125,6882.10009765625,1293200,AUTO,^CNXAUTO
2019-08-23,6864.0,7003.7998046875,6801.0,6988.35009765625,1131200,AUTO,^CNXAUTO
2019-08-26,7202.7001953125,7202.7001953125,6871.0498046875,7022.75,1648700,AUTO,^CNXAUTO
2019-08-27,7069.7001953125,7185.0,7055.89990234375,7152.9501953125,1725300,AUTO,^CNXAUTO
2019-08-28,7148.2001953125,7186.10009765625,6985.2998046875,7018.5498046875,1349200,AUTO,^CNXAUTO
2019-08-29,7000.60009765625,7043.89990234375,6944.10009765625,6970.14990234375,925500,AUTO,^CNXAUTO
2019-08-30,7004.5,7029.14990234375,6901.64990234375,7009.2998046875,881800,AUTO,^CNXAUTO
2019-09-03,6921.75,6962.75,6884.75,6897.75,1075800,AUTO,^CNXAUTO
2019-09-04,6902.9501953125,6932.64990234375,6744.75,6782.0498046875,1500000,AUTO,^CNXAUTO
2019-09-05,6788.39990234375,6935.0,6786.10009765625,6921.75,1363100,AUTO,^CNXAUTO
2019-09-06,6947.9501953125,7119.14990234375,6920.35009765625,7102.4501953125,1294400,AUTO,^CNXAUTO
2019-09-09,7023.89990234375,7178.60009765625,6992.85009765625,7165.35009765625,1084600,AUTO,^CNXAUTO
2019-09-11,7193.14990234375,7443.89990234375,7177.89990234375,7423.60009765625,2064500,AUTO,^CNXAUTO
2019-09-12,7420.5498046875,7459.14990234375,7270.64990234375,7284.0,1346100,AUTO,^CNXAUTO
2019-09-13,7307.75,7372.75,7249.75,7360.60009765625,1464300,AUTO,^CNXAUTO
2019-09-16,7286.75,7384.64990234375,7263.39990234375,7300.64990234375,846800,AUTO,^CNXAUTO
2019-09-17,7308.64990234375,7324.7001953125,7004.35009765625,7020.75,1169600,AUTO,^CNXAUTO
2019-09-18,7068.14990234375,7111.5498046875,6924.2001953125,7012.10009765625,1258900,AUTO,^CNXAUTO
2019-09-19,7033.7001953125,7051.75,6886.85009765625,6920.60009765625,1010600,AUTO,^CNXAUTO
2019-09-20,6955.5498046875,7778.14990234375,6936.2001953125,7605.85009765625,2890000,AUTO,^CNXAUTO
2019-09-23,7714.0,7939.25,7654.39990234375,7802.64990234375,2032800,AUTO,^CNXAUTO
2019-09-24,7854.10009765625,7921.39990234375,7700.64990234375,7773.25,1454900,AUTO,^CNXAUTO
2019-09-25,7747.7001953125,7747.7001953125,7437.64990234375,7470.4501953125,1384500,AUTO,^CNXAUTO
2019-09-26,7501.4501953125,7680.10009765625,7491.0498046875,7659.75,1285000,AUTO,^CNXAUTO
2019-09-27,7628.5498046875,7648.85009765625,7528.2998046875,7554.25,990400,AUTO,^CNXAUTO
2019-09-30,7568.25,7572.10009765625,7395.5,7493.14990234375,1033300,AUTO,^CNXAUTO
2019-10-01,7513.0498046875,7593.7001953125,7353.7998046875,7464.10009765625,1122600,AUTO,^CNXAUTO
2019-10-03,7458.39990234375,7521.9501953125,7431.75,7493.75,1323600,AUTO,^CNXAUTO
2019-10-04,7530.75,7578.60009765625,7381.75,7404.89990234375,1155400,AUTO,^CNXAUTO
2019-10-07,7385.85009765625,7397.0,7296.5,7355.4501953125,909400,AUTO,^CNXAUTO
2019-10-09,7363.89990234375,7473.2998046875,7331.64990234375,7460.75,1210400,AUTO,^CNXAUTO
2019-10-10,7440.7998046875,7445.7998046875,7332.9501953125,7359.64990234375,939500,AUTO,^CNXAUTO
2019-10-11,7386.64990234375,7457.85009765625,7322.2998046875,7397.0498046875,908300,AUTO,^CNXAUTO
2019-10-14,7401.5,7559.60009765625,7397.7998046875,7520.35009765625,1259400,AUTO,^CNXAUTO
2019-10-15,7522.0,7701.9501953125,7510.10009765625,7688.25,1162900,AUTO,^CNXAUTO
